Date,Close,High,Low,Open,Volume,Return,MA_5,MA_10,MA_20,Volatility,Stock
2010-02-01,8649.1494140625,8712.14868140775,8495.15120499632,8597.35021177774,0,-0.0002658641761314,8550.1103515625,8779.7478515625,8929.21118164063,7.06837601500698e-08,BANKNIFTY
2010-02-02,8468.0517578125,8718.54884011284,8453.80192378943,8666.59924989043,0,-0.0211605170554717,8504.42109375,8717.23857421875,8897.0015625,0.0004477674820549,BANKNIFTY
2010-02-03,8631.7490234375,8662.8492469635,8489.70087403982,8489.70087403982,0,0.0191466869796159,8564.8302734375,8666.83408203125,8868.98681640625,0.0003665956222953,BANKNIFTY
2010-02-04,8471.0009765625,8623.14959563225,8455.40154882075,8591.69976650849,0,-0.0187984716660387,8574.280078125,8601.30986328125,8831.39223632813,0.0003533825369788,BANKNIFTY
2010-02-05,8223.154296875,8319.05357140027,8150.35533943996,8319.05357140027,0,-0.0296948108585462,8488.62109375,8531.7056640625,8782.90776367188,0.0008817817919248,BANKNIFTY
2010-02-08,8342.103515625,8412.20231259942,8160.85561617317,8279.65404406226,0,0.0143615347935489,8427.2119140625,8488.6611328125,8741.98325195313,0.0002062536816263,BANKNIFTY
2010-02-09,8392.3525390625,8420.30240914087,8271.45355525893,8321.90316352274,0,0.0060054744887411,8412.0720703125,8458.24658203125,8702.9287109375,3.60657238349205e-05,BANKNIFTY
2010-02-10,8289.9033203125,8444.10171731056,8259.30406779645,8410.45171912335,0,-0.0122825722829471,8343.7029296875,8454.2666015625,8668.17412109375,0.0001508615818858,BANKNIFTY
2010-02-11,8381.302734375,8451.85171704839,8327.60316475265,8327.60316475265,0,0.0109650531011375,8325.76328125,8450.0216796875,8640.939453125,0.0001202323895107,BANKNIFTY
2010-02-15,8312.603515625,8441.50143054104,8281.95348147505,8441.50143054104,0,-0.0082305010624128,8343.653125,8416.137109375,8611.03481445313,6.77411477383785e-05,BANKNIFTY
2010-02-16,8397.7021484375,8432.05233491925,8289.05399783622,8324.20300315356,0,0.0101852557572202,8354.7728515625,8390.9923828125,8585.3701171875,0.0001037394348399,BANKNIFTY
2010-02-17,8551.400390625,8569.15018386988,8446.45141779082,8446.45141779082,0,0.0181369432448365,8386.582421875,8399.32724609375,8558.28291015625,0.0003289487102664,BANKNIFTY
2010-02-18,8573.80078125,8601.90006417095,8523.25058728601,8574.65038075446,0,0.0026160747748985,8443.3619140625,8393.532421875,8530.18325195313,6.84384722786025e-06,BANKNIFTY
2010-02-19,8487.0009765625,8530.15086571532,8407.85248233477,8490.15133057524,0,-0.0101754366356866,8464.5015625,8395.132421875,8498.22114257812,0.0001035395107268,BANKNIFTY
2010-02-22,8493.2509765625,8598.1501489849,8473.05199238494,8565.20033632125,0,0.00073614929855,8500.6310546875,8422.14208984375,8476.92387695313,5.41915789755695e-07,BANKNIFTY
2010-02-23,8512.8515625,8577.80100528602,8453.30244776893,8491.30200749302,0,0.0023051248305268,8523.6609375,8439.21689453125,8463.93901367188,5.31360048431139e-06,BANKNIFTY
2010-02-24,8504.451171875,8527.25071213829,8458.35209714724,8463.35203915898,0,-0.0009872764724768,8514.27109375,8450.4267578125,8454.33666992188,9.7471483310626e-07,BANKNIFTY
2010-02-25,8537.7001953125,8554.85038584617,8469.55157634015,8520.50020067239,0,0.0039019798506709,8507.0509765625,8475.2064453125,8464.7365234375,1.52254467550424e-05,BANKNIFTY
2010-02-26,8722.6484375,8851.24654953783,8526.95052080389,8535.35081361975,0,0.0214312381436333,8554.18046875,8509.341015625,8479.68134765625,0.0004592979683691,BANKNIFTY
2010-03-02,8921.99609375,8945.49582109925,8826.79797951655,8826.79797951655,0,0.0225967871796137,8639.9294921875,8570.2802734375,8493.20869140625,0.0005106147908407,BANKNIFTY
2010-03-03,9039.3447265625,9046.79483494905,8922.04629048299,8922.04629048299,0,0.0130669868933846,8745.228125,8634.44453125,8512.71845703125,0.0001707461464718,BANKNIFTY
2010-03-04,9013.6953125,9068.84506379585,8965.14607062457,9055.84521449794,0,-0.0028415636663757,8847.076953125,8680.6740234375,8540.00063476563,8.07448407006685e-06,BANKNIFTY
2010-03-05,9038.3447265625,9095.19367256523,8967.69516034968,9012.74443935562,0,0.0027309300587333,8947.205859375,8727.12841796875,8560.33041992188,7.45797898569306e-06,BANKNIFTY
2010-03-08,9145.84375,9178.44297996384,9093.34436102223,9102.04445507735,0,0.0118234889493137,9031.844921875,8793.0126953125,8594.07255859375,0.0001397948909345,BANKNIFTY
2010-03-09,9138.09375,9176.89310273227,9073.39430834056,9118.59397714359,0,-0.0008477386738097,9075.064453125,8857.49697265625,8639.81953125,7.1866085907266e-07,BANKNIFTY
2010-03-10,9119.1435546875,9155.89312571963,9073.89408287243,9136.14335625338,0,-0.002075911245671,9091.02421875,8918.126171875,8678.67153320313,4.30940749990333e-06,BANKNIFTY
2010-03-11,9186.7431640625,9219.09337516332,9087.24431693961,9114.54478186352,0,0.0073855932458128,9125.6337890625,8986.35537109375,8718.39106445312,5.45469875925965e-05,BANKNIFTY
2010-03-12,9172.7939453125,9229.89289208511,9145.49348086962,9201.04361749033,0,-0.0015195613430816,9152.5236328125,9049.86474609375,8762.53559570312,2.30906667538819e-06,BANKNIFTY
2010-03-15,9085.39453125,9146.09402192613,9056.04526257905,9118.09434696328,0,-0.00957379553199,9140.4337890625,9086.13935546875,8797.74018554687,9.16575608883528e-05,BANKNIFTY
2010-03-16,9102.8447265625,9121.84450642439,8986.6458775706,9070.89490143187,0,0.0019188444158225,9133.383984375,9104.22421875,8837.25224609375,3.68196389213327e-06,BANKNIFTY
2010-03-17,9188.2939453125,9220.94298113973,9141.89409222438,9162.3440506265,0,0.0093433046357712,9147.2140625,9119.119140625,8876.7818359375,8.72973415168244e-05,BANKNIFTY
2010-03-18,9252.1923828125,9287.49177765907,9171.9433145382,9213.99263101531,0,0.0069302611773262,9160.30390625,9142.96884765625,8911.82143554688,4.80285199859559e-05,BANKNIFTY
2010-03-19,9270.6923828125,9293.99191752235,9231.7934194822,9293.59250808791,0,0.0019975296921108,9179.88359375,9166.20361328125,8946.666015625,3.99012487086453e-06,BANKNIFTY
2010-03-22,9186.84375,9240.74253955275,9066.59514328597,9171.0939324886,0,-0.0090856340747026,9200.1734375,9170.30361328125,8981.65815429687,8.25487465393975e-05,BANKNIFTY
2010-03-23,9222.79296875,9257.79256109455,9166.29362682237,9192.34312810002,0,0.0039054833067105,9224.1630859375,9178.77353515625,9018.13525390625,1.52527998589949e-05,BANKNIFTY
2010-03-25,9318.1416015625,9341.8913252807,9165.39337849072,9191.2934678186,0,0.0102852931178055,9250.1326171875,9198.67333984375,9058.39975585938,0.0001057872545191,BANKNIFTY
2010-03-26,9456.08984375,9473.08964536412,9321.39122035611,9331.54149252851,0,0.0146957520203025,9290.912109375,9225.6080078125,9105.98168945313,0.0002159651274422,BANKNIFTY
2010-03-29,9517.4892578125,9578.3889423295,9451.99001725056,9451.99001725056,0,0.0064721187352389,9340.271484375,9260.0775390625,9154.97114257812,4.18883209230314e-05,BANKNIFTY
2010-03-30,9470.189453125,9587.5386716485,9461.13975388929,9558.83881076168,0,-0.0049821679887442,9396.940625,9298.55703125,9192.34819335938,2.48219978680682e-05,BANKNIFTY
2010-03-31,9459.4892578125,9537.33893557902,9440.2394823746,9509.73867161792,0,-0.0011305206618174,9444.2798828125,9334.221484375,9219.2228515625,1.27807696679606e-06,BANKNIFTY
2010-04-01,9507.6396484375,9523.28985741647,9445.44017505066,9464.04054510073,0,0.0050772570060737,9482.1794921875,9366.1560546875,9242.63759765625,2.57785387057248e-05,BANKNIFTY
2010-04-05,9698.4873046875,9708.78796665987,9581.88904547471,9593.43871642154,0,0.0198742764258729,9530.658984375,9410.785546875,9276.87719726563,0.000394986863452,BANKNIFTY
2010-04-06,9728.0869140625,9772.28659468027,9673.98695810607,9732.48627689547,0,0.0030473342286153,9572.778515625,9456.525,9311.36430664063,9.28624590089056e-06,BANKNIFTY
2010-04-07,9680.9375,9793.08658962823,9639.73778262896,9778.38656484484,0,-0.0048585138339816,9614.928125,9505.934375,9338.11899414063,2.36051566749914e-05,BANKNIFTY
2010-04-08,9519.8896484375,9676.58802735175,9492.18977421322,9676.58802735175,0,-0.0167754885870523,9627.008203125,9535.64404296875,9357.2087890625,0.0002814170173343,BANKNIFTY
